Sentence,Event
wheat to 198788 from 8687 china has switched purchases of us wheat totaling 60000 tonnes from the 198687 season which began june 1 to 198788 season delivery the us agriculture department said,general
us business loans rise 377 mln dlrs in march 4 week fed says us business loans rise 377 mln dlrs in march 4 week fed says,rate_change
the central bank has so far not issued its own paper the sources said,rate_change
national beverage to acquire faygo beverages ltnational beverage corp said it agreed to acquire ltfaygo beverages inc for an undisclosed amount of cash,merger
baker said it believes the vote was overwhelmingly in favor of the merger,merger
those expecting a draw of as much as four mln barrels said they are looking for fairly high consumption rates as the spring and summer driving season gets underway this year because retail prices are still low compared to recent years,rate_change
lyonnaise des eaux forecasts 1987 profit rise consolidated attributable net profit of ste lyonnaise des eaux ltlyoepa is likely to rise by at least 10 pct this year from the 360 mln francs reported for 1986 chairman jerome monod told a news conference,earnings
these stocks were equivalent to one quarter of ugandas expected three mln 60kilo bag 198687 octoberseptember crop the sources said,general
if you really want to expand domestic demand the way to do it is not to raise wages recklessly but to reduce commodity prices bumpei otsuki president of the japan federation of employers associations told a recent press conference,rate_change
in an attempt to generate more foreign business representative offices would be opened this year in tokyo hong kong moscow and prague,general
federalmogul corp ltfmo sets regular dividend qtly div 40 cts vs 40 cts prior pay june 10 record may 27,rate_change
it said the major part of the turnaround reflected an injection of funds estimated at around 700 mln dlrs associated with the previously reported restructuring of the australian operations of general motors corp ltgm,general
the lanston economists said the fed cannot ease its policy stance to both foster more rapid economic growth and calm domestic and third world debt jitters without the threat of causing a further decline in the dollar,rate_change
black told shareholders that first quarter operating earnings on continuing operations amounted to 499000 dlrs against a yearago loss of 165000 dlrs,earnings
economic spotlight telecom is key japan ministry japans littleknown ministry of posts and telecommunications mpt has emerged as an international force to be reckoned with political analysts said,general
mco holdings inc ltmco 4th qtr loss oper shr loss 227 dlrs vs loss 162 dlrs oper net loss 127 mln vs loss 121 mln revs 600 mln vs 262 mln year oper shr loss 516 dlrs vs loss 156 dlrs doper net loss 290 mln vs loss 124 mln revs 1393 mln vs 1100 mln note 1985 operating losses exclude profits of 195 mln dlrs or 264 dlrs a share in quarter and 206 mln dlrs or 274 dlrs a share in year from discontinued operations 1985 loss in both periods includes pretax charge of 169 mln dlrs on write down of oil properties,earnings
but in a dissenting view the diw institute in west berlin echoing recent statements by leading bundesbank officials said the expansion seen over the last 112 years did not necessarily threaten stability,general
the possible acquisition is subject to any applicable real estate gains and transfer taxes the joint statement said,merger
we were forced to pay a temporary price in the form of slower earnings growth and a lower rating by the investment community,earnings
american brands ltamb sees higher 1st qtr net american brands inc said it expects first quarter net earnings to exceed the record 1187 mln dlrs or 105 dlrs a share it earned for the yearago quarter,earnings
aircraft attack iranian oil rigs in southern gulf unidentified jets raided three iranian oil rigs in the southern gulf on monday setting at least one of them ablaze regional shipping sources said,general
us sept housing starts rose 44 pct to 1669 mln permits fell 06 pct to 1493 mln us sept housing starts rose 44 pct to 1669 mln permits fell 06 pct to 1493 mln,general
usair said piedmont has about 231 mln common shares on a fully diluted basis adding its offer is conditioned on the tender of at least 9309394 shares representing 402 pct of the oustanding shares on a diluted basis,general
claremonts intentions and the letter were made public in a filing with the federal securities and exchange commission,rate_change
the administration has said it could not support a trade bill containing such a provision,general
borgwarner agrees to buyout by merrill lynch firm borgwarner ltbor corp facing an unwanted offer from gaf corp ltgaf agreed to a 423 billion dlr buyout offer from a company to be formed by ltmerrill lynch capital partners inc,merger
the main thing the british would threaten the japan with is denial of access to londons booming financial markets government officials said,general
geoffrion leclerc forecasts results geoffrion leclerc inc in reporting sharply higher earnings for the six months ended february 28 said it expects third quarter results to continue at a strong pace and approximate the preceding quarters,earnings
lttrump plaza 4th qtr net net profit 2529000 vs loss 1066000 revs 590 mln vs 526 mln year net profit 154 mln vs profit 865000 revs 2470 mln vs 2311 mln note company became wholly owned and operated by donald trump in may 1986 when he acquired 50 pct interest that had been owned by former operator holiday corp lthia,earnings
the currency market is becoming very political said natsuo okada of sumitomo bank ltd okada expects the dollar to trade between 148 and 150 yen this week but sees the chance of a drop to 140 yen by the end of april or early may,general
ltd swire is developing a large commercial and hotel complex in the central business district of hong kong but it will not provide income until the first stage is completed next year,earnings
southwest bancorp ltswb 3rd qtr loss shr loss primary 82 cts vs profit 15 cts shr loss diluted 82 cts vs 13 cts net loss 4134000 vs profit 649000 avg shrs 5030000 vs 3927000 nine mths shr loss primary 80 cts vs profit 37 cts shr loss diluted 80 cts vs 32 cts net loss 3615000 vs profit 1652000 avg shrs 4557000 vs 3927000 loans 2312 mln vs 2215 mln deposits 3233 mln vs 2819 mln assets 3683 mln vs 3465 mln note prior qtr and nine mth figures include operating loss carryforward gains of 105000 dlrs or two cts per share and 195000 dlrs or four cts per share respectively,earnings
moodys said it would examine the effects of the proposed mergers on usair groups financial measurements as well as potential damage to the companys financial flexibility because of the probability of increased debtservice requirements,merger
the ec firms said they had been forced to offer their products at a discount of up to 30 pct in order to compete with the japanese,general
with total bahia crop estimates around 64 mln bags and sales standing at almost 62 mln there are a few hundred thousand bags still in the hands of farmers middlemen exporters and processors,earnings
azpurua said that according to the agreement the new interest rate will be retroactive to april 1 provided the accord is approved before october 1,rate_change
there is broad agreement among economists that the fomc at last tuesdays meeting also left fed policy unchanged,rate_change
finally the fed said that the m1 money supply fell 800 mln dlrs in february with the broader m2 measure down 16 billion dlrs and m3 up an even three billion dlrs,rate_change
protective life ltprot in acquisition protective life corp said it has signed a letter of intent to assume ltliberty life insurance cos group insurance on july 1 subject to regulatory approvals,merger
based on current interest rates it estimated in a filing that the move will reduce net income by about 800000 dlrs in the first quarter and 32 mln dlrs for all of 1987,earnings
the hughes board last week indicated that it might cancel the merger because of the department of justice requirement,merger
microsize inc ltmsiz 2nd qtr ends feb 28 net shr profit one cent vs loss 26 cts net profit 59198 vs loss 132702 revs 634616 vs 485730 six mths shr profit one cent vs loss four cts net profit 49669 vs loss 208278 revs 1056452 vs 944330,earnings
hong kong banks leave interest rates unchanged the hong kong association of banks said it decided to leave interest rates unchanged at todays regular weekly meeting,rate_change
standard said its refined product sales also rose last year to 644500 barrels per day from 604200 barrels daily in 1985,earnings
dealers said federal funds were trading at 6116 pct when the fed began its temporary and indirect supply of reserves to the banking system,rate_change
seipp added the federal government should make further courageous steps to decrease the states proportion of the german economy and to increase its flexibility,rate_change
southmark said it received the rights on april 6 as the holder of about 84 pct of american realty trusts outstanding shares,general
the announcement sent investors today scrambling for gm shares with more than 32 mln shares changing hands by midday,general
commenting on the twoweek statement period that ended on april 8 the fed said banks had average net free reserves of 447 mln dlrs,rate_change
a reuter survey found opec production in early march was 147 mln bpd,general
pdvsa income on oil sales fell 45 pct in 1986 the state oil company petroeleos de venezuela ended 1986 with a decrease of 45 pct in income from oil sales even though it surpassed its own export goal by almost 100000 barrels a day minister of energy and mines arturo hernandez grisanti said,earnings
cityfed ltctyf to sell consumer lending offices cityfed financial corp said its city federal savings bank has a preliminary agreement to sell 14 consumer lending offices to ltgoldome fsb for undisclosed terms,rate_change
however they stress that money growth will not be strong enough to prevent the fed from dropping interest rates further if the economy shows evidence of weakness,rate_change
but such an outlay of funds by the government would not be possible without seriously impairing development projects or greatly fuelling inflation in the economy the letter said,rate_change
troon will acquire a majority stock interest and control of the board,merger
imported passenger car light commercial and heavy vehicle sales suffered while localmanufacturing profitability was eroded by sales substantially below production capacity it said,earnings
automotive technologies corp year net shr 43 cts vs 52 cts shr diluted 41 cts vs 49 cts net 1916000 vs 2281000 revs 326 mln vs 226 mln,general
other prime rates range from 1825 to 185 pct with the majority on 1825,rate_change
dudley taft taft vice chairman and narragansett capital inc said they sent a letter to the taft board stating they were committed to pursuing acquisition of the broadcast company and were prepared to negotiate a transaction in excess of 150 dlrs per share,merger
phh ltphh buys two design firms phh group inc said it acquired two design firms for undisclosed terms,merger
completion is subject to rockwood shareholder approval,general
specifically they said the feds dollarbuying intervention has been halfhearted designed more as a political gesture to japan than to strike fear into the markets,rate_change
wendys is currently trading up one at 1134 on turnover of more than 16 mln shares,general
fed expected to take no money market action the federal reserve is expected to refrain from reservemanagement intervention in the us government securities market economists said,rate_change
ryder ltrdr buys british caledonian unit ryder system inc said it has acquired caledonian airmotive ltd from ltbritish caledonian group plc for undisclosed terms,merger
canadian liquid plus short term assets fell 854 mln dlrs to 3540 billion dlrs and total canadian dollar major assets of the chartered banks fell 118 mln dlrs to 22120 billion dlrs,general
key centurion ltkeyc to buy bank of buckhannon key centurion bancshares inc said it reached an agreement in principle to acquire central national bank of buckhannon in w virginia,merger
schlang said chemlawns customer base could be valuable to another company that wants to capitalize on a strong residential and commercial distribution system,general
dealers said the market was switch and straddlebound in that any pressure on one particular month was certain to be reflected in adjacent deliveries,general
gencorp takes no action on stock dividend gencorp inc said its board took no action with respect to a two pct stock dividend at its annual meeting yesterday due to the press of other business specifically the companys pending takeover offer by general acquisition corp formed by afg industries inc and wagner and brown,merger
valhi said these results were prepared as if the merger had occurred july 1 1986 and on substantially the same basis as the proforma financial information in llcs and amalgamateds joint proxy statement dated february 10,merger
wants japan to eliminate import controls on agricultural products within three years visiting us undersecretary of state for economic affairs allen wallis told eishiro saito chairman of the federation of economic organisations keidanren a spokesman for keidanren said,rate_change
but the official denied the plan amounts to interest rate capitalisation a development until now unacceptable to the banks,rate_change
but it said its transamerica life cos unit plans to change to a more conservative method of amortizing deferred policy acquisition costs resulting in a onetime charge that will offset most of the gain from the sale,merger
fidelcor ltficro buys new england ltbkneostake fidelcor inc said it has acquired a substantial portion of the assets of bank of new england corps lazere financial corp subsidiary for undisclosed terms,merger
stoltenberg reiterated west german concern about a further fall in the dollar noting that the mark was up 85 pct against the dollar and nearly 20 pct on a tradeweighted basis,general
middle south ltmsu to consider dividend middle south utilities inc will not consider payment of a common stock dividend until there is another ruling on a mississippi supreme court order rolling back rates at the companys mississippi power and light co subsidiary chairman edwin lupberger said,rate_change
prior year excludes discontinued operations loss of 14 cts per share in the quarter and loss 18 cts a share in the year,general
ltscottish and york holdings ltd year loss shr loss 27 cts vs loss 227 dlrs net profit 2150000 vs loss 14700000 revs 1213 mln vs 698 mln note shr after payment of preferred stock dividends,earnings
he said it was the aim of the partners to move as quickly as possible to eliminate uncertainty surrounding the stations,general
penwest inc ltpenwo 3rd qtr may 31 net shr 108 dlrs vs 37 cts net 3025000 vs 1188000 sales 352 mln vs 354 mln avg shrs 2794298 vs 3187051 nine mths shr 243 dlrs vs 83 cts net 6781000 vs 2576000 sales 1010 mln vs 997 mln avg shrs 2794298 vs 3115499,earnings
david ericksen director of asas technical services said us soybean producers could regain about onehalf of the 273 mln dlrs in sales lost to imported tropical oils if consumers were aware the vegetable oils were high in saturated fat,earnings
united cable television corp ltuct 3rd qtr net shr loss 24 cts vs profit seven cts net loss 5952000 vs profit 2078000 revs 559 mln vs 506 mln avg shrs 252 mln vs 247 mln nine mths shr loss 11 cts vs profit 24 cts net loss 2673000 vs profit 6800000 revs 1626 mln vs 1439 mln avg shrs 250 mln vs 244 mln note current year net both periods includes pretax charge seven mln dlrs from increase in reserve for investments in broadcast television entities and tax credits of 1002000 dlrs in quarter and 520000 dlrs in nine mths,earnings
continental ltgic sees 1987 net up from tax law continental corp said the fresh start provision of the tax reform act of 1986 may add 130 to 160 to 1987 earnings per share,earnings
the increased offer would exceed the 9025 dlrs a share price offered by dixons group plc in a tender offer for cyclops that is part of a definitive agreement to acquire the pittsburghbased maker of carbon tool and specialty steel products,merger
home federal savings bank of georgia lthfgao 3rd qtr net shr 22 cts vs 54 cts net 366497 vs 877148 nine mths shr 70 cts vs 117 dlrs net 1185352 vs 1924255,rate_change
store sales activity varied throughout the country ranging from good in the east to weak in the depressed southwest,earnings
air canada said the acquisitions will complement its main cargo business,merger
the bank said nervousness in the wholesale deposit market is creating uncertainty about the immediate outlook for interest rates,rate_change
versar said the acquisition should have a moderately favorable effect on its earnings this year,earnings
british telecom cautious on earnings prospects british telecommunications plcs ltbtyl profit growth prospects for the coming years will be reduced by increasing competition and continued costs for replacing old telephone systems deputy chairman graeme odgers said,earnings
combined sales of the three companies in 1986 were over 50 mln dlrs it said,earnings
price to be offered for the guardianmorton special shares under the takeover bid will be 90 pct of the net asset value of the special shares at the time of the bid and two dlrs for each series ii warrant the company said,merger
interdyne co ltidyn 1st qtr feb 1 loss shr loss 28 cts vs loss 80 cts net loss 2150000 vs loss 3722000 sales 1478000 vs loss 2097000,earnings
gander mountain ltgndro buys western wear firm gander mountain inc said it acquired privately held western ranchman outfitters a cheyenne wyo retailer and catalog seller of western apparel,merger
it also noted that aircraft engine operating profit was much higher than a year ago caused by a increase in shipments than the 1986 quarter which was impacted by a strike,earnings
dealers said federal funds were trading at 6516 pct when the fed began its temporary and indirect supply of reserves to the banking system,rate_change
the sources warned that maybe the price of a barrel of oil will fall below 18 perhaps 1780 dlrs this week or next if there is no control on supplies it said,general
group to buy more intermedics ltitm shares an investor group including bessemer securities corp and cilluffo associates told the securities and exchange commission it asked federal antitrust regulators for advance clearance to hold more than 30 mln dlrs of intermedics inc common stock,rate_change
the company which last paid a quarterly common dividend of 22 cts a share in december said it will consider future dividend payments on the basis of improved profitability and cash flow,earnings
partners call gencorpltgy response unproductive general acquisition co said it was disappointed by gencorps response to its tender offer and questioned how the company might give better value to shareholders,merger
the company said bicycle sales were soft early in the period but recent orders and shipments have been running well ahead of last year,earnings
lamont said the treasury would appoint financial advisers for the sale,general
the officials comments also suggest that debtors pleas for interest rate concessions should be treated much more seriously by the commercial banks in cases where developing nations are carrying out genuine economic reforms,rate_change
plains resources inc ltplns year loss oper shr loss 31 cts vs profit three cts oper net loss 887886 vs profit 646250 revs 9724418 vs 108 mln note yearago oper net excludes tax credit of 230000 dlrs,earnings
desjardins group lowers visa interest rate la confederation des caisses populaires et deconomie desjardins the quebec credit union group said it is lowering the interest rate on unpaid balances on its visa credit card to 159 pct from 180 pct effective with june billing statements,rate_change
a statement issued by the wallenberg holding companies ab investor and forvaltnings ab providentia said they had taken over an option held by nobel industrier sweden ab to acquire 33 pct of the voting rights in swedish match,merger
oecd january annual inflation steady at 21 pct inflation in the 24 industrialised nations of the organisation for economic cooperation and development was 21 pct in the year to january unchanged from december the oecd said,rate_change
the main reason for a low western australia estimate was a poor profit outlook under cost credit and yield pressures,earnings
the flotation plan has been interpreted by financial analysts as a means of helping finance the acquisition of the cpc business,merger
when the dollar was strong against the mark many porsches had been bought locally in west germany for illegal export to the us porsche has previously said domestic sales in the 198687 first half fell to 3267 from 5387 in the same 198586 period,earnings
but the official expressed deep misgivings that such a plan would work in the united states,general
but in the short term given the failure of the g7 and of central bank intervention some feel that the fed will have no choice but to tighten credit to restore faith in the dollar,rate_change
arvins 1986 revenues were 9956 mln net reached 412 mln and earnings per share 246 dlrs,earnings
he also said that to curb inflation salary increases would have to be below the inflation rate,rate_change
japan approves aid for indonesia brazil aluminium japans cabinet approved a plan to help financiallytroubled aluminium ventures in indonesia and brazil an official at the ministry of international and trade industry miti said,general
subcommittee chairman dan glickman dkans,general
purchases of durable goods were up 248 billion dlrs last month after decreasing by 697 billion dlrs in january with sales of motor vehicles accounting for most of the february increase and the january decline the department said,earnings
1986 nine mths net also includes aftertax earnings of 2256000 dlrs or 22 dlrs a share for american medical international inc ltami contracts which expired july 1986,earnings
american farmers would continue as working tenants and part of the profits from harvests of rice corn soybean and oranges would go to the japanese investors as rental,earnings
sunflower maize and sorghum harvests were particularly affected they said,general
a fed spokesman told a press briefing that there were no large single day net misses in the feds reserve projections in the first week of the latest bank statement period,rate_change
cross and trecker ltctco buys automation unit cross and trecker said it agreed to acquire the alliance automation systems division of gleason corp ltgle for an undisclosed amount of cash,merger
when other banks sought funds rates rose and large banks were able to place excess funds on deposit at a considerably higher average return,rate_change
i would hope retail stores and other financial institutions will look to their rates as well hockin said during the daily question period,rate_change
but the weight of foreign currency and gold reserves now available to the authorities to support the pound should curb any market tendency to panic if uk opinion polls show the ruling conservative partys lead slipping they added,general
colonial said it also signed letters of intent to acquire first federal bank in opelika athenslimestone bank in athens jackson county bank in scottsboro and commercial national bank in demopolis with aggregate assets totaling 130 mln dlrs,merger
blocker energy corp ltblk year net oper shr profit 11 cts vs loss 245 dlrs oper net profit 3594000 vs loss 819 mln revs 385 mln vs 482 mln note 1986 net excludes 685 mln dlr gain from debt extinguishment,earnings
he said that while the merger will initially reduce sumitomos profitability and efficiency it will vastly expand sumitomos branch network in the tokyo metropolitan area where it has been relatively weak,earnings
baur said siemens had first made an offer last summer,general
hong kong firm has 51 pct of mcgill ltmgllo industrial equity pacific ltd told the securities and exchange commission it has acquired 72600 shares of mcgill manufacturing co inc or 51 pct of the total outstanding common stock,merger
agriculture under secretary daniel amstutz and gao senior associate director brian crowley are set to testify before the senate agriculture committee tomorrow,general
outokumpu group had a 1986 loss before appropriations and taxes of 83 mln markka after a profit of 355 mln in 1985,earnings
its going to take a lot more than the central banks to hold the dollar at these levels said snow who predicts another 10 to 15 pct depreciation,rate_change
ccx network ltccxn to make acquisition ccx network inc said it has entered into a letter of intent to acquire privatelyheld ltmodern mailers inc and its affiliate ltanwalt inc for about 3200000 dlrs in common stock,merger
in the parent bank the interest surplus rose nine pct in the year while the interest margin held roughly at 1985s 256 pct despite pressure on credit rates,rate_change
john makin of the american enterprise institute suggested foreign tax cuts to increase demand and pick up the slack from the us trade deficit fall,general
our optimism is based on our incoming order rates and the strength of our product lines the company said,rate_change
they said the fed cannot tighten policy and push up interest rates as might be appropriate to stabilize the dollar and head off renewed inflationary psychology,rate_change
it had profits in 1984 and 1983 but a loss 1712 mln in 1982,earnings
it follows the announcement yesterday of a 14 point rise to 734 pct of two of the largest us banks prime rates,rate_change
stoltenberg does not rule out central bank intervention to stabilize currencies stoltenberg does not rule out central bank intervention to stabilize currencies,rate_change
idc services agrees to be acquired for 16 dlrs a share by apollo partners group idc services agrees to be acquired for 16 dlrs a share by apollo partners group,merger
hughes supply inc lthug 1st qtr april 30 net shr 58 cts vs 53 cts shr diluted 54 cts vs 53 cts net 1957745 vs 1594009 sales 958 mln vs 874 mln note average shares up 117 pct on primary basis,earnings
artistic greetings ltartg sees recovery in net artistic greetings inc said it expects a rebound in profits and an increase in sales in 1987 as costs connected with computerization staffing traning and catalog sales start to taper off,earnings
we expected farmers to increase hog operations but we didnt expect this degree of expansion to show up in a 10state spring report levitt added,general
quest said the agreement also offers alza the right to acquire up to 25 pct of the units equity in exchange for the acquisition of patent rights to alza technology in an area where quest has an interest,merger
standard bank 39 pct owned by standard chartered plc ltstchl london previously reported that 1986 net income rose by 138 pct to 2090 mln rand,earnings
the federal grain inspection service advisory committee is composed of 12 members representing the grain industry who provide advice to the administrator of the federal grain inspection service,rate_change
china moves to stabilise world tungsten prices china is moving to stabilise world prices of tungsten after fluctuating prices this year affected the countrys export earnings the china daily said,earnings
retailers store pct 1987 1986 sears 42 26 bil 25 bil k mart 46 22 bil 21 bil jc penney 13 11 bil 11 bil walmart 32 11 bil 855 mln federated 49 934 mln 891 mln may 35 885 mln 855 mln dayton 48 792 mln 756 mln woolworth 02 591 mln 590 mln zayre 127 522 mln 464 mln,rate_change
he said inquiries into the accident which happened while the hydrocracker was not in operation were continuing,general
the ban will affect products such as uncanned meat milk ham butter and bacon bopa reported,general
for its fiscal year ending august 1986 monfort reported 251 mln dlrs in earnings on sales of 16 billion dlrs,earnings
morgan grenfell 1986 pretax profit 8219 mln stg vs 6882 mln morgan grenfell 1986 pretax profit 8219 mln stg vs 6882 mln,earnings
as a result of the merger borgwarner will become a wholly owned subsidiary of av holdings,merger
burlington requested the injunction to stop a takeover effort by samjens claiming the partnership used illegally obtained confidential information about the company to make its offer,merger
he said first central financial would not itself be an easy takeover target,merger
the us said iranians used the platforms for military pruposes and had fired on an american helicopter from the rigs earlier this month,general
the two groups have also begun exploratory talks on a possible merger of the holmes business with the compatible businesses of wormald comprising some or all of its fire protection and security businesses in the americas and europe wormald said in a statement,merger
iea estimates on april one put oil stocks held in the oecd area at 428 mln tonnes or 98 days of forward consumption,general
richard loewy analyst with prudential bache securities said there was not enough information to completely assess the conservation figures,general
at the same time the sec is being pressed by some lawmakers to put a stop to abusive tactics in corporate takeover contests as an unrelenting wave of such takeovers steadily reshapes the us corporate landscape,merger
quixote said the agreement with dainippon which has annual sales of more than two billion dlrs provides for a dainippon representative to sit on the laservideo board of directors,earnings
present lower terminal values may be a reflection of the lack of renewed prompt offtake particularly from these two large consumers the report said,general
ecuador was forced to suspend oil exports for an expected four months after an earthquake damaged a pipeline,general
negotiators were successful in getting other members of the pact to agree that the price review and adjustment mechanism of the rubber agreement would accurately reflect market trends and also to continue the accord as a market oriented agreement us officials said,general
but only saudi arabia met its obligations while the others failed because of falling income due to lower oil prices,earnings
the acquisition is the latest in a series by santos as part of a program to expand from its origins in the south australian cooper basin,merger
fed buys 500 mln dlrs of bills for customer the federal reserve purchased about 500 mln dlrs of us treasury bills for a customer a spokeswoman said,rate_change
these concerns were heightened by the may 17 iraqi missile attack on the us frigate stark which killed 37 seamen,general
peoples ban corp ltpeop sees 1st quarter net up peoples ban corp said it expects to report first quarter earnings of over six mln dlrs including a gain of 1600000 dlrs from the settlement of a dispute with the internal revenue service and the sale of four banking offices in vancouver wash,earnings
turkish central bank sets liradollar dm rates turkeys central bank set a liradollar rate for april 3 of 7825078641 to the dollar down from 7800078390,rate_change
robert brusca of nikko securities co international sees both the strongest economy and the highest interest rates among those surveyed,rate_change
cbt traders look ahead to spring plantings chicago board of trade grain traders and analysts voiced a lot of interest in how farmers planned to handle their upcoming spring plantings prompting sales of new crop months of corn and oats and purchases in new crop soybeans in the futures markets,earnings
fcs laboratories ltfcsi ends merger talks fcs laboratories said its merger talks with another unidentified company in the health care field ended without agreement,merger
but us officials held out little hope that any accord could be reached before the tariffs of 100 per cent up from about five per cent are to take effect on april 17,general
trading was not very active and dealers were watching for further central bank intervention to smooth out any sharp movements but underlying dollar sentiment is still bearish,rate_change
eastman kodak acquires 187 pct interest in enzon inc eastman kodak acquires 187 pct interest in enzon inc,merger
since 1982 shell has acquired two billion dlrs in new reserves including 470 mln barrels of oil equivalent at a net cost of 280 dlrs a barrel he said,merger
clevelandcliffs inc ltclf 3rd qtr net shr loss nine cts vs loss 103 dlrs net profit 100000 vs loss 116 mln revs 1252 mln vs 718 mln nine mths shr loss 246 dlrs vs loss 98 cts net loss 269 mln vs loss 85 mln revs 3554 mln vs 2156 mln note 1987 qtr includes loss 59 mln dlrs nonrecurring aftertax charges due almost entirely to the companys recent buyout of its tilden mine debt obligations,earnings
pioneerstandard electronics inc ltpioso2nd qtr periods ended september 30 oper shr 24 cts vs six cts oper net 1297881 vs 312295 sales 605 mln vs 522 mln first half oper shr 39 cts vs 13 cts oper net 2099679 vs 711530 sales 1181 mln vs 1037 mln note 1986 operating net excludes losses from discontinued operations of 154661 dlrs or three cts a share in quarter and 409476 dlrs or seven cts a share in half,earnings
delegates will also be briefed on arrangements for an international cocoa research conference due to take place in santo domingo in the dominican republic next month cpa secretary general ds,rate_change
enterprises serves about 16000 access lines in lancaster county,general
managing board chairman dieter spethmann told the annual meeting the group was satisfied with profit developments in the first half of the 198687 financial year to september 30,earnings
the merger took place after an agreement was reached with the federal trade commission that certain domestic polyester textile fiber assets of the combined companies would be divested it said,merger
at 40 dlrs a share home federal said the total market value of the transaction would be about 175 mln dlrs,rate_change
the economy ministry is holding its inflation forecast to five pct in spite of minister carlos solchagas doubts last week on whether this target could be maintained if wage settlements continue to rise above the governments recommended five pct ceiling,rate_change
brazils coffee chief jorio dauster said yesterday brazil would not change its coffee policies,general
revenue from dutch operations rose five pct in 1986 mainly due to its life insurance business,earnings
private sector in february is estimated to have risen by an underlying seasonallyadjusted 16 billion stg after a 12 billion stg rise in january the banking information service said,general
exco chairman richard lacy told reuters the acquisition was being made from bank of new york co inc ltbkn which currently holds a 501 pct and from rmj partners who hold the remainder,merger
dividend payable november 13 to shareholders or record october 30,general
first federal savings and loan association of kalamazoo is full name of company,rate_change
exchange rates generally are regaining stability and the economies of industrialised nations are heading for a steady recovery he said,rate_change
the bank board said that the federal savings and loan insurance corp will make a cash contribution provide capital loss coverage and indemnify standard pacific against undisclosed liabilities,rate_change
the multifamily area which typically represents rental units remained weak due to high vacancy rates and increased capital costs of such units following tax law changes effective january 1,rate_change
this accounted for 178 mln barrels of a worldwide downward revision of 188 mln barrels with 158 mln barrels of the total revision occurring in the united states the report said,general
rowleyscher ltrsch to have loss for year rowleyscher reprographics inc said it expects to report an operating loss and a loss from the sale of its mid south repro subsidiary for the year ending march 31,general
bhp to float gold unit with oneforthree issue the broken hill pty co ltd ltbrkns bhp said it plans a renounceable oneforthree issue of rights to float a new company ltbhp gold mines ltd bhpgm which will hold most of bhps gold interests,general
the centraal planbureau publishing its 1987 economic outlook said dutch net national income nni was expected to grow by one pct this year down from two pct growth recorded in 1986 and 25 pct in 1985 and 1984,earnings
colombia june coffee registrations opened colombia has opened coffee registrations for june shipment with no limit set for private exporters as in april and may a national coffee growers federation official said,rate_change
their combined revenues are about 500 mln dlrs,earnings
asked about criticism of the takeover attempt voiced by some municipal officials in akron ohio where gencorp is headquartered reed said the plan of the partners offers long term growth for ohio,merger
professional tax preparers accounted for just over 43 million forms according to the irs,general
for the yearago quarter the company earned 22 cts a share adjusted for a threefortwo stock split on revenues of 242 mln dlrs,earnings
in the merger lanes stockholders will receive 15 shares of interco common stock for each outstanding share of lane common stock interco said,merger
novo astro operates brazils richest gold mine located in amapa state with an average grade of 08 ounces of gold a ton in a hardrock quartz vein consolidated tvx said,rate_change
the ico executive board meets tomorrow in london,general
gerber ltgeb sets deadline for units buyout gerber products co said it has given management of its cwt inc trucking subsidiary 60 days to pursue a leveraged buyout of the subsidiary,merger
it was hoped to bring the public sector borrowing requirement down to five pct of gnp in 1987 from an estimated 56 pct in 1986,general
the domestic uranium conversion industry and the federal governments enrichment industry could be seriously injured in a manner not intended by congress if the,rate_change
hughes tool shareholders approve merger with baker international hughes tool shareholders approve merger with baker international,merger
the purchase valued at 148 mln dlrs follows the recent acquisition of londons johnson matthey commodities limited deak said,merger
transportation agency gives final okay for us air pacific southwest acquisition transportation agency gives final okay for us air pacific southwest acquisition,merger
in a filing with the securities and exchange commission krupp said companies he controls and kappa acquired a combined 292000 radiation system shares or 525 pct of the total,merger
thus you can have lower rates and also a normalisation of monetary growth both at the same time he added,rate_change
amc says it is studying chrysler buyout proposal and will comment when appropriate amc says it is studying chrysler buyout proposal and will comment when appropriate,merger
cairo stopped repaying moscow for arms purchases in 1977 when thenpresident anwar sadat broke with its longstanding ally and turned to the us,general
pico products inc ltppi 2nd qtr jan 31 shr profit three cts vs loss nine cts net profit 103664 vs loss 326675 revs 76 mln vs 69 mln six months shr loss two cts vs loss 15 cts net loss 78246 vs loss 522868 revs 147 mln vs 129 mln note1986 net includes gain of 43185 or one cts in 2nd qtr and six months for discount on early longterm debt repayment,earnings
but dealers said the terms were not enough to attract foreign investors and the federal government would have to push yields higher in future if it wanted to borrow again soon,rate_change
ltpantry inc inb talks on being acquired privatelyheld pantry inc which operates 477 convenience stores in five southeastern states said it has engaged alex,merger
he reported that the 23 mln dlr hydrocal ii system under construction at the companys refinery in princeton la is on schedule and production will begin early in fiscal 1988,general
it took the bond market a long while to see that inflation was not returning to double digits and now that it has learned that lesson it may be a little slow to see that a four to five pct inflation is a real possibility ahead boltz said in a report,rate_change
in the northern territory it has a 4375 pct stake in and operates the mereenie oil and gas field in the amadeus basin and owns 32 pct of ltnt,rate_change
computer memories ltcmin sets film firm merger computer memories inc which ended its disk drive operations in june 1986 agreed to acquire lthemdale film corp in a transaction which will give hemdales owner control of the resulting company,merger
marietta environmental had 1986 revenues of about nine mln dlrs,earnings
